Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2011-02-20,Albury,16.7,25.7,12.8,,,WNW,43.0,WSW,WNW,13.0,26.0,80.0,50.0,1010.1,1009.7,8.0,5.0,19.4,25.2,Yes,No
2016-08-23,NorfolkIsland,13.5,20.3,4.0,3.4,,N,33.0,NE,NNE,13.0,13.0,73.0,66.0,1021.9,1019.8,,3.0,18.7,19.5,Yes,No
2015-04-07,Adelaide,9.7,16.7,12.8,19.0,,S,41.0,S,S,17.0,20.0,70.0,47.0,1021.6,1022.7,,,13.6,15.7,Yes,No
2012-05-12,WaggaWagga,3.0,15.0,0.0,2.4,6.6,WSW,37.0,WNW,WSW,9.0,20.0,85.0,47.0,1020.6,1018.2,7.0,2.0,7.9,12.1,No,No
2011-07-15,GoldCoast,14.3,19.7,0.0,,,SE,69.0,S,S,31.0,28.0,57.0,68.0,1029.4,1027.3,,,16.9,16.6,No,Yes
2017-05-02,Mildura,11.0,17.5,0.0,3.4,,SW,31.0,SSW,S,11.0,17.0,73.0,38.0,1023.7,1023.5,7.0,7.0,12.8,16.5,No,No
2013-06-27,Woomera,5.7,17.7,0.0,3.8,3.0,W,20.0,WSW,SW,9.0,9.0,72.0,36.0,1022.3,1020.1,2.0,1.0,9.6,17.2,No,No
2010-01-22,Darwin,25.0,31.1,16.0,5.2,4.0,WNW,50.0,W,W,24.0,22.0,81.0,69.0,1010.5,1007.8,7.0,7.0,28.3,29.7,Yes,Yes
2017-01-01,Moree,27.3,43.0,0.0,,,SSW,48.0,N,N,26.0,17.0,39.0,22.0,1004.0,1000.4,,1.0,32.9,39.9,No,Yes
2015-09-22,AliceSprings,7.2,22.5,0.0,6.6,11.5,ESE,48.0,SE,ESE,28.0,26.0,29.0,12.0,1026.9,1022.4,0.0,0.0,15.0,21.8,No,No
2013-08-24,Launceston,3.5,17.1,0.0,,,NW,39.0,NNW,NW,6.0,22.0,89.0,55.0,1014.3,1014.1,,,10.2,15.9,No,No
2012-04-30,Sale,2.4,16.5,0.0,2.6,6.7,ENE,26.0,NNW,E,4.0,17.0,86.0,58.0,1026.5,1022.1,5.0,6.0,8.6,15.5,No,No
2013-08-14,Cairns,14.9,27.5,0.0,4.8,10.7,NE,30.0,SE,NE,15.0,17.0,62.0,54.0,1017.0,1014.1,1.0,,22.8,26.2,No,No
2012-11-04,CoffsHarbour,16.1,23.7,3.6,3.4,,NE,41.0,NE,NE,9.0,30.0,82.0,68.0,1021.4,1018.1,8.0,3.0,18.7,21.9,Yes,No
2014-02-13,Ballarat,18.1,28.5,0.0,,,SE,35.0,W,SE,20.0,22.0,59.0,29.0,1013.4,1010.9,,8.0,20.5,27.7,No,No
2015-08-24,Darwin,21.6,30.9,0.0,4.2,10.6,NW,30.0,ENE,NNW,9.0,17.0,75.0,54.0,1016.9,1013.2,5.0,3.0,26.1,29.7,No,No
2017-05-09,Katherine,16.0,32.5,0.0,8.8,,E,37.0,ESE,ESE,13.0,20.0,77.0,,1015.5,1011.4,6.0,,23.5,,No,No
2015-10-02,Perth,12.0,27.5,0.0,6.4,5.4,N,20.0,NE,WNW,2.0,7.0,44.0,30.0,1021.1,1017.9,7.0,7.0,21.3,26.2,No,No
2013-03-23,Bendigo,7.9,23.5,0.0,2.6,,NW,35.0,N,WNW,9.0,20.0,80.0,47.0,1017.3,1015.2,,6.0,12.4,22.1,No,No
2014-05-19,Melbourne,17.4,23.5,0.0,4.8,5.3,N,59.0,N,N,28.0,37.0,57.0,46.0,1020.7,1017.6,5.0,7.0,17.6,22.3,No,No
2016-05-10,Uluru,7.9,20.3,0.0,,,SSE,26.0,SSE,SE,13.0,19.0,75.0,45.0,1024.3,1022.5,,,12.3,19.3,No,No
2012-05-14,Richmond,0.6,17.7,0.0,6.7,,S,31.0,N,SW,4.0,15.0,84.0,37.0,1022.5,1021.7,,,8.9,16.9,No,No
2015-03-01,MountGambier,10.3,22.5,2.0,6.0,10.1,S,43.0,S,S,24.0,28.0,78.0,46.0,1014.6,1017.2,5.0,7.0,16.5,19.6,Yes,No
2009-02-08,WaggaWagga,28.5,42.7,0.0,18.0,11.6,W,50.0,N,WSW,17.0,31.0,16.0,10.0,1008.9,1006.3,1.0,1.0,35.1,42.0,No,No
2016-08-11,Walpole,10.6,15.3,0.4,,,W,61.0,NW,WSW,30.0,13.0,76.0,99.0,1013.7,1014.6,,,13.8,11.1,No,Yes
2011-08-10,WaggaWagga,4.4,12.7,0.4,0.2,3.5,WNW,30.0,WNW,WSW,6.0,11.0,91.0,56.0,1009.7,1007.1,5.0,8.0,7.7,12.1,No,No
2015-07-01,Wollongong,9.3,15.2,0.0,,,WNW,46.0,WSW,SSE,20.0,6.0,50.0,64.0,1026.3,1022.6,3.0,8.0,11.1,14.7,No,No
2015-09-01,Townsville,20.9,28.8,0.4,6.0,9.5,NNE,41.0,SSE,N,6.0,26.0,82.0,59.0,1017.6,1013.3,7.0,3.0,24.3,27.2,No,No
2014-01-20,Melbourne,17.0,24.8,0.4,7.8,4.7,S,46.0,SSE,S,24.0,31.0,69.0,59.0,1011.5,1010.2,7.0,,20.2,24.0,No,No
2016-12-03,WaggaWagga,11.8,33.3,0.0,,,WSW,41.0,ENE,WSW,13.0,22.0,39.0,12.0,1013.4,1011.2,,,23.9,33.0,No,No
2014-01-19,Nuriootpa,13.3,28.6,0.0,11.4,13.0,SE,57.0,ESE,ESE,22.0,15.0,55.0,21.0,1013.7,1011.1,0.0,0.0,16.8,27.7,No,No
2012-01-06,Bendigo,11.0,27.2,0.0,,,SE,43.0,SSE,E,26.0,17.0,49.0,20.0,1017.2,1013.0,1.0,5.0,16.2,25.1,No,No
2013-10-21,Cobar,22.6,39.1,0.0,11.4,,NW,59.0,NNE,ENE,24.0,9.0,23.0,13.0,1014.5,1009.9,1.0,2.0,27.9,38.1,No,Yes
2016-06-27,WaggaWagga,0.0,9.0,0.0,2.8,,SW,35.0,WSW,SW,11.0,24.0,89.0,65.0,1019.0,1018.6,8.0,7.0,5.7,8.3,No,No
2012-01-28,Walpole,20.4,35.4,0.0,,,SSW,39.0,W,SW,9.0,17.0,53.0,52.0,1002.2,1001.7,,,28.8,31.3,No,No
2013-03-23,Williamtown,21.1,31.6,,,,WNW,37.0,WNW,SE,11.0,15.0,61.0,51.0,1016.4,1013.3,,,24.3,29.1,,
2011-05-03,GoldCoast,16.8,25.6,0.0,,,SW,37.0,ESE,NE,9.0,19.0,75.0,70.0,1014.3,1010.9,,,21.8,23.2,No,Yes
2010-05-24,Townsville,18.2,28.5,0.0,5.4,7.6,ENE,33.0,SE,ENE,13.0,26.0,77.0,60.0,1016.3,1013.0,7.0,3.0,23.1,26.4,No,No
2012-08-21,Walpole,10.5,17.8,,,,WSW,65.0,N,WSW,17.0,31.0,93.0,81.0,998.3,999.0,,,14.0,16.5,,
2009-02-02,NorahHead,21.1,29.0,0.0,,,NNE,44.0,NNE,NE,9.0,28.0,78.0,73.0,1015.9,1012.4,,,24.5,25.8,No,No
2012-02-25,CoffsHarbour,19.3,27.4,0.4,5.8,5.9,ESE,26.0,SW,E,13.0,17.0,74.0,63.0,1022.9,1021.7,6.0,7.0,23.9,26.1,No,No
2013-10-26,Hobart,9.2,14.0,0.0,7.2,11.9,WSW,83.0,W,SW,22.0,26.0,44.0,42.0,1011.8,1013.9,,,10.5,13.3,No,No
2011-03-06,MelbourneAirport,7.9,26.5,0.0,4.8,12.0,N,59.0,N,NE,28.0,22.0,60.0,34.0,1025.0,1022.3,0.0,1.0,16.9,25.5,No,No
2016-11-01,MountGinini,-2.5,7.5,0.0,,,WSW,54.0,W,W,17.0,20.0,71.0,67.0,,,,,2.9,4.3,No,No
2012-02-05,Woomera,17.0,25.5,0.0,34.5,13.2,W,78.0,SW,SSW,50.0,41.0,49.0,21.0,1005.2,1006.2,2.0,,18.5,24.5,No,No
2011-06-10,Walpole,11.4,16.9,0.2,,,N,54.0,NNE,NE,24.0,15.0,72.0,61.0,1024.7,1022.7,,,12.2,14.8,No,No
2015-01-27,Bendigo,11.3,24.4,0.0,,,S,54.0,SE,SSE,24.0,26.0,52.0,37.0,1014.1,1012.0,,,16.0,22.9,No,No
2012-04-03,SydneyAirport,17.2,28.6,0.0,3.0,8.6,ENE,30.0,WNW,E,19.0,22.0,74.0,54.0,1015.9,1013.4,7.0,4.0,20.7,26.6,No,No
2008-11-25,Brisbane,18.2,27.7,0.0,7.8,10.5,ESE,28.0,E,ENE,15.0,13.0,53.0,56.0,1012.1,1010.0,7.0,6.0,26.1,26.9,No,Yes
2013-05-11,Wollongong,14.6,20.9,0.2,,,NNE,31.0,WSW,NE,9.0,7.0,88.0,82.0,1030.9,1027.7,6.0,5.0,17.9,19.6,No,No
2013-09-19,Mildura,4.9,20.4,0.0,5.8,10.4,SW,57.0,W,NW,13.0,20.0,59.0,23.0,1012.1,1008.4,1.0,1.0,12.0,19.4,No,Yes
2015-10-07,Newcastle,15.4,21.2,0.0,,,,,SE,,56.0,,75.0,,,,0.0,,20.8,,No,No
2014-01-04,Watsonia,12.1,21.2,0.0,7.8,3.8,WSW,46.0,W,SSW,19.0,17.0,58.0,56.0,1006.7,1007.2,7.0,7.0,16.2,18.5,No,No
2013-12-01,Wollongong,14.3,21.5,0.0,,,ESE,28.0,S,E,13.0,17.0,67.0,63.0,1025.3,1024.7,8.0,7.0,18.4,20.2,No,No
2012-04-14,Mildura,9.2,28.0,0.0,3.8,9.4,NW,30.0,NE,NNW,9.0,13.0,59.0,21.0,1024.6,1020.2,6.0,2.0,16.1,27.5,No,No
2015-04-20,MelbourneAirport,4.7,15.8,1.2,2.4,9.3,SSE,50.0,SSW,S,9.0,31.0,68.0,47.0,1036.8,1034.1,1.0,6.0,10.3,14.5,Yes,No
2011-12-11,Sale,16.2,20.8,3.4,6.8,4.5,W,46.0,W,W,17.0,31.0,92.0,53.0,1004.4,1005.1,8.0,8.0,17.7,19.3,Yes,No
2017-01-03,Richmond,16.6,28.9,0.2,2.2,,SE,46.0,S,ESE,13.0,24.0,62.0,45.0,1018.7,1017.2,8.0,8.0,21.5,27.7,No,No
2016-08-16,Bendigo,2.0,17.5,0.0,,,N,37.0,NE,N,11.0,26.0,89.0,50.0,1028.1,1023.1,,,8.6,17.1,No,No
2010-12-23,BadgerysCreek,14.3,31.7,,,,SSE,46.0,SW,NNE,7.0,6.0,83.0,40.0,1018.5,1016.2,,,20.2,30.4,,No
2014-09-28,NorfolkIsland,15.4,19.7,1.0,3.2,6.8,S,48.0,WSW,SSW,17.0,20.0,75.0,68.0,1014.0,1012.2,7.0,5.0,17.0,18.4,No,Yes
2017-01-02,Cairns,25.5,33.4,1.0,,,SSE,31.0,NNW,SW,2.0,4.0,79.0,84.0,1005.5,1003.0,8.0,8.0,28.3,28.9,No,Yes
2017-02-19,Townsville,25.7,32.7,0.0,5.8,,WSW,33.0,NW,N,13.0,22.0,69.0,64.0,1010.1,1005.9,7.0,5.0,29.3,30.6,No,Yes
2015-07-25,MountGambier,5.8,13.3,12.2,2.8,3.6,N,61.0,N,NNW,17.0,31.0,85.0,70.0,1012.3,1006.9,7.0,8.0,8.4,12.2,Yes,Yes
2015-06-11,Katherine,20.4,32.0,0.0,5.4,,ESE,41.0,ESE,E,19.0,17.0,55.0,38.0,1015.3,1012.0,3.0,4.0,25.6,32.0,No,No
2016-06-12,Woomera,6.5,16.4,0.0,2.4,,ESE,30.0,ESE,E,17.0,13.0,83.0,38.0,1036.8,1032.9,0.0,0.0,9.3,15.8,No,No
2014-11-08,Wollongong,14.2,21.0,0.0,,,NE,43.0,NE,NE,9.0,31.0,74.0,73.0,1021.9,1018.6,,,18.8,20.3,No,No
2011-07-07,Melbourne,6.4,11.5,2.4,1.0,4.9,SW,46.0,W,SW,26.0,30.0,75.0,56.0,1015.3,1019.5,6.0,7.0,6.7,11.4,Yes,No
2015-04-15,Nhil,12.0,25.2,0.0,,,W,50.0,SW,W,13.0,31.0,64.0,45.0,1018.4,1017.6,,,18.4,24.3,No,No
2014-08-16,Cairns,18.4,25.8,0.0,2.0,10.7,NNE,28.0,ENE,N,6.0,15.0,76.0,77.0,1014.1,1010.7,4.0,5.0,23.7,25.1,No,No
2010-01-07,Albany,16.2,21.9,0.0,10.4,4.5,,,,SW,19.0,13.0,94.0,68.0,1010.7,1011.5,8.0,2.0,19.0,20.5,No,No
2015-12-09,Brisbane,20.7,30.8,0.0,8.4,8.7,NE,26.0,NW,NE,6.0,11.0,58.0,59.0,1020.0,1016.3,7.0,7.0,27.5,27.7,No,No
2015-03-17,WaggaWagga,17.0,29.0,0.0,7.0,0.3,NNW,35.0,ENE,N,19.0,20.0,51.0,28.0,1011.7,1007.4,8.0,7.0,18.8,26.9,No,No
